indice_tiempo,ipc_nivel_general_nacional,ipc_estacionales_nacional,ipc_nucleo_nacional,ipc_regulados_nacional,ipc_nivel_general_gba,ipc_estacionales_gba,ipc_nucleo_gba,ipc_regulados_gba,ipc_nivel_general_pampeana,ipc_estacionales_pampeana,ipc_nucleo_pampeana,ipc_regulados_pampeana,ipc_nivel_general_nea,ipc_estacionales_nea,ipc_nucleo_nea,ipc_regulados_nea,ipc_nivel_general_noa,ipc_estacionales_noa,ipc_nucleo_noa,ipc_regulados_noa,ipc_nivel_general_cuyo,ipc_estacionales_cuyo,ipc_nucleo_cuyo,ipc_regulados_cuyo,ipc_nivel_general_patagonia,ipc_estacionales_patagonia,ipc_nucleo_patagonia,ipc_regulados_patagonia
2016-12-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2017-01-01,101.5859,101.6969,101.5039,101.8183,101.313,101.5562,101.3389,101.1274,101.7874,102.0904,101.6093,102.2331,101.6727,102.4771,101.8639,100.3476,101.6014,101.5611,101.4339,102.2777,101.7074,100.6608,101.7235,102.2456,102.5593,100.6843,101.8374,106.1556
2017-02-01,103.6859,102.3345,103.2105,105.9316,103.8085,102.0783,103.2097,106.3489,103.5312,102.6254,103.1957,105.2868,103.4617,104.0713,103.4466,103.0912,103.7115,103.5611,102.9705,106.6823,103.2652,100.3694,103.1488,105.2775,104.2827,101.174,103.524,108.7652
2017-03-01,106.1476,104.7868,105.2057,110.0057,106.2627,105.879,105.0891,109.8871,105.8173,104.1769,105.3123,108.6317,105.988,104.9091,105.4076,109.0469,107.055,104.2786,105.264,115.9572,105.9238,102.0721,105.2127,110.4082,106.5167,102.5219,105.2611,113.2246
2017-04-01,108.9667,108.1867,107.427,114.4649,109.0613,108.5334,107.4973,113.8991,108.6912,108.5973,107.3262,113.6053,108.3473,107.1165,107.5916,112.2076,109.9626,107.7699,107.4536,121.2229,109.4506,106.6856,107.6553,116.8444,108.6517,105.197,107.0217,116.2906
2017-05-01,110.5301,109.0536,109.2069,115.6559,110.4607,108.0039,109.2199,115.2166,110.3005,110.4495,109.0797,114.551,110.4331,109.2521,109.8413,113.6091,111.636,109.1944,109.0912,123.2123,111.3091,109.9381,109.5453,117.8142,110.4897,107.3134,109.1808,116.8725
2017-06-01,111.8477,110.0769,110.6653,116.6875,111.9943,109.5654,110.8829,116.3567,111.4058,111.2188,110.3141,115.4054,111.9403,108.84,111.5443,115.6964,112.6924,110.7449,110.1614,123.8629,112.4298,109.3961,111.0548,118.6098,111.7051,107.4796,110.6001,117.9284
2017-07-01,113.7852,110.589,112.6183,119.3618,113.9199,110.1248,112.8387,118.809,113.5783,112.3316,112.4443,118.3858,113.3741,107.558,113.1838,118.2337,114.2857,110.0316,111.9143,126.4854,114.0184,108.8904,112.7657,120.983,113.3785,107.9322,112.0685,121.167
2017-08-01,115.3819,111.7749,114.231,121.1349,115.6031,111.4882,114.5355,120.5959,115.0905,113.3375,114.0026,120.0483,114.6809,108.6521,114.4192,119.9735,115.7385,111.4599,113.3031,128.2032,115.5674,109.8083,114.4031,122.6005,115.3036,108.7748,113.9473,123.9168
2017-09-01,117.5719,116.214,116.0978,123.2159,117.9656,117.1944,116.5488,122.4798,117.2947,116.7187,115.7605,123.1099,116.1702,111.5347,115.9294,120.3964,117.7781,115.3391,115.2821,129.1639,117.5777,115.5044,116.1101,123.5164,116.7945,109.915,115.5547,125.2309
